Country,Code,Overall LPI Score,lower bound score,upper bound score,Overall rank,lower bound rank,upper bound ranks,Highest performer,CustomsScore,CustomsRank,InfrastructureScore,InfrastructureRank,International ShipmentScore,International ShipmentRank,Logistics ServicesScore,Logistics ServicesRank,Ease of TrackingScore,Ease of TrackingRank,TimelinessScore,TimelinessRank
Singapore,SGP,4.13,4.06,4.19,1,1,2,100.0,4.10,1,4.15,2,3.99,2,4.07,6,4.07,6,4.39,1
"Hong Kong SAR, China",HKG,4.12,4.05,4.19,2,1,2,99.9,3.97,3,4.12,7,4.18,1,4.08,5,4.09,5,4.28,4
Finland,FIN,4.05,3.81,4.29,3,1,15,97.6,3.98,2,4.12,6,3.85,4,4.14,1,4.14,1,4.10,15
Germany,DEU,4.03,3.97,4.09,4,3,7,97.0,3.87,6,4.26,1,3.67,11,4.09,4,4.05,7,4.32,2
Netherlands,NLD,4.02,3.94,4.11,5,3,7,96.7,3.85,8,4.15,3,3.86,3,4.05,7,4.12,2,4.15,12
Denmark,DNK,4.02,3.82,4.22,6,1,15,96.6,3.93,4,4.07,10,3.70,8,4.14,2,4.10,4,4.21,7
Belgium,BEL,3.98,3.85,4.11,7,3,13,95.3,3.85,7,4.12,8,3.73,6,3.98,8,4.05,8,4.20,9
Japan,JPN,3.93,3.88,3.99,8,7,11,93.8,3.72,11,4.11,9,3.61,14,3.97,9,4.03,9,4.21,6
United States,USA,3.93,3.88,3.98,9,8,11,93.7,3.67,13,4.14,4,3.56,17,3.96,10,4.11,3,4.21,8
United Kingdom,GBR,3.90,3.84,3.96,10,8,14,92.7,3.73,10,3.95,15,3.63,13,3.93,11,4.00,10,4.19,10
Austria,AUT,3.89,3.70,4.08,11,3,19,92.5,3.77,9,4.05,11,3.71,7,4.10,3,3.97,11,3.79,31
France,FRA,3.85,3.77,3.93,12,10,17,91.2,3.64,14,3.96,14,3.73,5,3.82,14,3.97,12,4.02,23
Sweden,SWE,3.85,3.68,4.02,13,5,22,91.2,3.68,12,4.13,5,3.39,29,3.90,12,3.82,17,4.26,5
Canada,CAN,3.85,3.76,3.94,14,8,17,91.1,3.58,17,3.99,12,3.55,18,3.85,13,3.86,14,4.31,3
Luxembourg,LUX,3.82,3.49,4.16,15,1,29,90.3,3.54,18,3.79,20,3.70,9,3.82,15,3.91,13,4.19,11
Switzerland,CHE,3.80,3.66,3.95,16,8,24,89.7,3.88,5,3.98,13,3.46,24,3.71,18,3.83,15,4.01,24
United Arab Emirates,ARE,3.78,3.70,3.85,17,12,19,88.9,3.61,15,3.84,17,3.59,15,3.74,17,3.81,18,4.10,13
Australia,AUS,3.73,3.63,3.82,18,16,24,87.2,3.60,16,3.83,18,3.40,28,3.75,16,3.79,19,4.05,17
Taiwan,TWN,3.71,3.60,3.82,19,16,24,86.6,3.42,22,3.77,21,3.58,16,3.68,20,3.72,21,4.10,14
Spain,ESP,3.70,3.60,3.80,20,17,24,86.4,3.40,25,3.74,24,3.68,10,3.69,19,3.67,23,4.02,22
"Korea, Rep.",KOR,3.70,3.64,3.76,21,18,24,86.2,3.42,23,3.74,22,3.67,12,3.65,22,3.68,22,4.02,21
Norway,NOR,3.68,3.36,4.01,22,7,32,85.9,3.46,21,3.86,16,3.49,21,3.57,23,3.67,24,4.09,16
South Africa,ZAF,3.67,3.52,3.82,23,16,24,85.5,3.35,26,3.79,19,3.50,20,3.56,24,3.83,16,4.03,20
Italy,ITA,3.67,3.61,3.73,24,18,24,85.4,3.34,27,3.74,23,3.53,19,3.65,21,3.73,20,4.05,18
Ireland,IRL,3.52,3.36,3.68,25,23,32,80.6,3.40,24,3.35,31,3.40,27,3.54,25,3.65,25,3.77,33
China,CHN,3.52,3.46,3.58,26,25,29,80.5,3.25,30,3.61,26,3.46,23,3.47,28,3.52,31,3.80,30
Turkey,TUR,3.51,3.38,3.64,27,25,32,80.3,3.16,32,3.62,25,3.38,30,3.52,26,3.54,29,3.87,27
Portugal,PRT,3.50,3.34,3.66,28,25,32,80.1,3.19,31,3.42,28,3.43,25,3.48,27,3.60,26,3.88,26
Malaysia,MYS,3.49,3.40,3.59,29,25,31,79.8,3.28,29,3.43,27,3.40,26,3.45,30,3.54,28,3.86,28
Poland,POL,3.43,3.27,3.59,30,25,34,77.8,3.30,28,3.10,42,3.47,22,3.30,32,3.32,37,4.04,19
New Zealand,NZL,3.42,3.17,3.67,31,25,39,77.4,3.47,20,3.42,29,3.27,33,3.25,34,3.58,27,3.55,48
Iceland,ISL,3.39,3.20,3.59,32,25,36,76.6,3.53,19,3.39,30,3.01,47,3.47,29,3.39,35,3.62,40
Qatar,QAT,3.32,3.05,3.59,33,25,48,74.3,3.12,34,3.23,34,2.88,64,3.25,35,3.50,32,4.00,25
