Country,Code,Overall LPI Score,lower bound score,upper bound score,Overall rank,lower bound rank,upper bound ranks,Highest performer,CustomsScore,CustomsRank,InfrastructureScore,InfrastructureRank,International ShipmentScore,International ShipmentRank,Logistics ServicesScore,Logistics ServicesRank,Ease of TrackingScore,Ease of TrackingRank,TimelinessScore,TimelinessRank
Germany,DEU,4.11,4.07,4.16,1,1,4,100.0,4.00,3,4.34,1,3.66,9,4.14,4,4.18,4,4.48,3
Singapore,SGP,4.09,4.01,4.17,2,1,4,99.2,4.02,2,4.22,4,3.86,1,4.12,6,4.15,6,4.23,14
Sweden,SWE,4.08,3.90,4.25,3,1,10,98.8,3.88,5,4.03,10,3.83,2,4.22,2,4.22,3,4.32,11
Netherlands,NLD,4.07,4.00,4.14,4,1,4,98.5,3.98,4,4.25,2,3.61,11,4.15,3,4.12,9,4.41,6
Luxembourg,LUX,3.98,3.68,4.28,5,1,20,95.7,4.04,1,4.06,9,3.67,7,3.67,21,3.92,19,4.58,1
Switzerland,CHE,3.97,3.84,4.11,6,2,17,95.5,3.73,12,4.17,6,3.32,25,4.32,1,4.27,1,4.20,15
Japan,JPN,3.97,3.91,4.03,7,5,10,95.2,3.79,10,4.19,5,3.55,12,4.00,7,4.13,8,4.26,13
United Kingdom,GBR,3.95,3.89,4.02,8,5,11,94.9,3.74,11,3.95,16,3.66,8,3.92,9,4.13,7,4.37,8
Belgium,BEL,3.94,3.86,4.02,9,5,14,94.5,3.83,9,4.01,12,3.31,26,4.13,5,4.22,2,4.29,12
Norway,NOR,3.93,3.72,4.14,10,1,19,94.2,3.86,6,4.22,3,3.35,24,3.85,13,4.10,10,4.35,10
Ireland,IRL,3.89,3.74,4.05,11,5,19,92.9,3.60,18,3.76,19,3.70,5,3.82,16,4.02,13,4.47,4
Finland,FIN,3.89,3.74,4.03,12,5,19,92.6,3.86,7,4.08,8,3.41,19,3.92,10,4.09,11,4.08,25
"Hong Kong, China",HKG,3.88,3.78,3.98,13,6,18,92.4,3.83,8,4.00,13,3.67,6,3.83,14,3.94,17,4.04,26
Canada,CAN,3.87,3.78,3.97,14,7,18,92.3,3.71,13,4.03,11,3.24,32,3.99,8,4.01,15,4.41,5
United States,USA,3.86,3.82,3.89,15,11,18,91.7,3.68,15,4.15,7,3.21,36,3.92,11,4.17,5,4.19,16
