Country,Code,Overall LPI Score,lower bound score,upper bound score,Overall rank,lower bound rank,upper bound ranks,Highest performer,CustomsScore,CustomsRank,InfrastructureScore,InfrastructureRank,International ShipmentScore,International ShipmentRank,Logistics ServicesScore,Logistics ServicesRank,Ease of TrackingScore,Ease of TrackingRank,TimelinessScore,TimelinessRank,ID
Germany,DEU,4.12,4.07,4.17,1,1,1,100,4.1,2,4.32,1,3.74,4,4.12,3,4.17,1,4.36,4,276
Netherlands,NLD,4.05,3.97,4.12,2,2,5,97.6,3.96,4,4.23,3,3.64,11,4.13,2,4.07,6,4.34,6,528
Belgium,BEL,4.04,3.96,4.13,3,1,6,97.5,3.8,11,4.1,8,3.8,2,4.11,4,4.11,4,4.39,2,56
United Kingdom,GBR,4.01,3.96,4.07,4,2,5,96.6,3.94,5,4.16,6,3.63,12,4.03,5,4.08,5,4.33,7,826
Singapore,SGP,4,3.95,4.06,5,2,7,96.2,4.01,3,4.28,2,3.7,6,3.97,8,3.9,11,4.25,9,702
Sweden,SWE,3.96,3.68,4.24,6,1,20,94.9,3.75,15,4.09,9,3.76,3,3.98,6,3.98,7,4.26,8,752
Norway,NOR,3.96,3.69,4.22,7,1,19,94.8,4.21,1,4.19,4,3.42,30,4.19,1,3.5,31,4.36,5,578
Luxembourg,LUX,3.95,3.65,4.24,8,1,21,94.4,3.82,10,3.91,15,3.82,1,3.78,14,3.68,22,4.71,1,442
United States,USA,3.92,3.87,3.97,9,6,10,93.5,3.73,16,4.18,5,3.45,26,3.97,7,4.14,2,4.14,14,840
Japan,JPN,3.91,3.85,3.97,10,6,12,93.4,3.78,14,4.16,7,3.52,19,3.93,11,3.95,9,4.24,10,392
Ireland,IRL,3.87,3.73,4.01,11,5,17,91.9,3.8,12,3.84,16,3.44,27,3.94,9,4.13,3,4.13,16,372
Canada,CAN,3.86,3.77,3.95,12,9,17,91.5,3.61,20,4.05,10,3.46,23,3.94,10,3.97,8,4.18,11,124
France,FRA,3.85,3.77,3.92,13,9,17,91.2,3.65,18,3.98,13,3.68,7,3.75,15,3.89,12,4.17,13,250
Switzerland,CHE,3.84,3.78,3.91,14,11,17,91.1,3.92,7,4.04,11,3.58,15,3.75,16,3.79,18,4.06,21,756
"Hong Kong SAR, China",HKG,3.83,3.77,3.89,15,11,17,90.5,3.72,17,3.97,14,3.58,14,3.81,13,3.87,13,4.06,18,344
Australia,AUS,3.81,3.74,3.88,16,11,17,90,3.85,9,4,12,3.52,18,3.75,17,3.81,16,4,26,36
Denmark,DNK,3.78,3.52,4.05,17,2,28,89.1,3.79,13,3.82,17,3.65,9,3.74,18,3.36,36,4.39,3,208
Spain,ESP,3.72,3.63,3.8,18,17,23,87.1,3.63,19,3.77,20,3.51,21,3.83,12,3.54,26,4.07,17,724
Taiwan,TWN,3.72,3.62,3.81,19,16,23,87,3.55,21,3.64,24,3.71,5,3.6,25,3.79,17,4.02,25,158
Italy,ITA,3.69,3.64,3.74,20,18,23,86.2,3.36,29,3.78,19,3.54,17,3.62,23,3.84,14,4.05,22,380
"Korea, Rep.",KOR,3.67,3.58,3.75,21,18,25,85.4,3.47,24,3.79,18,3.44,28,3.66,21,3.69,21,4,28,410
Austria,AUT,3.65,3.41,3.89,22,11,35,84.8,3.53,23,3.64,25,3.26,40,3.56,26,3.93,10,4.04,23,40
New Zealand,NZL,3.64,3.28,4.01,23,5,39,84.7,3.92,6,3.67,22,3.67,8,3.56,27,3.33,38,3.72,40,554
Finland,FIN,3.62,3.32,3.93,24,9,39,84,3.89,8,3.52,28,3.52,20,3.72,19,3.31,39,3.8,38,246
Malaysia,MYS,3.59,3.52,3.66,25,22,28,83,3.37,27,3.56,26,3.64,10,3.47,32,3.58,23,3.92,31,458
Portugal,PRT,3.56,3.34,3.78,26,18,39,82,3.26,31,3.37,31,3.43,29,3.71,20,3.71,20,3.87,35,620
United Arab Emirates,ARE,3.54,3.48,3.6,27,25,32,81.3,3.42,25,3.7,21,3.2,43,3.5,31,3.57,24,3.92,32,784
China,CHN,3.53,3.48,3.59,28,26,32,81.1,3.21,38,3.67,23,3.5,22,3.46,35,3.5,29,3.87,36,156
Qatar,QAT,3.52,3.34,3.7,29,20,39,80.6,3.21,37,3.44,29,3.55,16,3.55,28,3.47,32,3.87,34,634
Turkey,TUR,3.5,3.43,3.57,30,26,35,80.1,3.23,34,3.53,27,3.18,48,3.64,22,3.77,19,3.68,41,792
Poland,POL,3.49,3.35,3.64,31,24,38,79.9,3.26,32,3.08,46,3.46,24,3.47,33,3.54,27,4.13,15,616
Czech Republic,CZE,3.49,3.31,3.67,32,21,39,79.8,3.24,33,3.29,36,3.59,13,3.51,29,3.56,25,3.73,39,203
Hungary,HUN,3.46,3.32,3.61,33,25,39,78.9,2.97,48,3.18,40,3.4,32,3.33,37,3.82,15,4.06,20,348
South Africa,ZAF,3.43,3.23,3.64,34,24,43,77.9,3.11,42,3.2,38,3.45,25,3.62,24,3.3,41,3.88,33,710
Thailand,THA,3.43,3.33,3.53,35,29,39,77.8,3.21,36,3.4,30,3.3,39,3.29,38,3.45,33,3.96,29,764
Latvia,LVA,3.4,3.2,3.61,36,25,44,77,3.22,35,3.03,51,3.38,33,3.21,42,3.5,30,4.06,19,428
Iceland,ISL,3.39,3.13,3.65,37,22,49,76.6,3.54,22,3.34,33,3.15,49,3.46,34,3.38,35,3.51,53,352
Slovenia,SVN,3.38,3.2,3.56,38,26,43,76.3,3.11,41,3.35,32,3.05,57,3.51,30,3.51,28,3.82,37,705
Estonia,EST,3.35,3,3.69,39,20,58,75.1,3.4,26,3.34,35,3.34,34,3.27,39,3.2,47,3.55,49,233
Romania,ROM,3.26,3.08,3.44,40,34,54,72.4,2.83,59,2.77,64,3.32,36,3.2,43,3.39,34,4,27,642
Israel,ISR,3.26,3.11,3.41,41,36,50,72.4,3.1,43,3.11,45,2.71,96,3.35,36,3.2,46,4.18,12,376
Chile,CHL,3.26,3.12,3.39,42,38,50,72.3,3.17,39,3.17,41,3.12,53,3.19,44,3.3,40,3.59,44,152
Slovak Republic,SVK,3.25,3.03,3.48,43,33,55,72.2,2.89,52,3.22,37,3.3,38,3.16,46,3.02,63,3.94,30,703
Greece,GRC,3.2,3.08,3.32,44,40,52,70.5,3.36,28,3.17,42,2.97,62,3.23,40,3.03,61,3.5,54,300
Panama,PAN,3.19,3,3.38,45,38,57,70.3,3.15,40,3,52,3.18,47,2.87,68,3.34,37,3.63,42,591
Lithuania,LTU,3.18,2.88,3.47,46,33,66,69.8,3.04,44,3.18,39,3.1,55,2.99,57,3.17,49,3.6,43,440
Bulgaria,BGR,3.16,3,3.31,47,40,57,69.1,2.75,64,2.94,53,3.31,37,3,55,2.88,76,4.04,24,100
Vietnam,VNM,3.15,2.99,3.32,48,40,59,69,2.81,61,3.11,44,3.22,42,3.09,49,3.19,48,3.49,56,704
Saudi Arabia,SAU,3.15,3.1,3.2,49,45,51,68.8,2.86,56,3.34,34,2.93,70,3.11,48,3.15,54,3.55,47,682
Mexico,MEX,3.13,3.03,3.23,50,44,55,68.2,2.69,70,3.04,50,3.19,46,3.12,47,3.14,55,3.57,46,484
Malta,MLT,3.11,2.85,3.36,51,39,69,67.5,3,46,3.08,47,3.23,41,3,54,3.15,52,3.15,81,470
Bahrain,BHR,3.08,2.45,3.71,52,20,124,66.7,3.29,30,3.04,49,3.04,58,3.04,51,3.29,42,2.8,119,48
Indonesia,IDN,3.08,2.89,3.27,53,40,66,66.7,2.87,55,2.92,56,2.87,74,3.21,41,3.11,58,3.53,50,360
India,IND,3.08,3.01,3.15,54,49,56,66.6,2.72,65,2.88,58,3.2,44,3.03,52,3.11,57,3.51,51,356
Croatia,HRV,3.05,2.8,3.3,55,40,76,65.8,2.95,50,2.92,55,2.98,61,3,56,3.11,59,3.37,62,191
